strategy,seed,path,benchmarks,improved,avg_improvement,median_improvement,min_improvement,max_improvement,oz_beaten,avg_best_vs_oz,error_count,oz_error_count
random,7,experiments/runs/stratified30_total_ir_size_sweep/random_seed7_t30_s12/subset_autotune.json,30,30,914.8333333333334,293.0,1.0,13410.0,5,-660.7333333333333,0,0
random,11,experiments/runs/stratified30_total_ir_size_sweep/random_seed11_t30_s12/subset_autotune.json,30,30,488.6,213.5,2.0,1805.0,4,-1086.9666666666667,0,0
random,17,experiments/runs/stratified30_total_ir_size_sweep/random_seed17_t30_s12/subset_autotune.json,30,29,729.9,301.5,0.0,8252.0,4,-845.6666666666666,0,0
random,23,experiments/runs/stratified30_total_ir_size_sweep/random_seed23_t30_s12/subset_autotune.json,30,30,699.3,228.5,1.0,7014.0,5,-876.2666666666667,0,0
random,31,experiments/runs/stratified30_total_ir_size_sweep/random_seed31_t30_s12/subset_autotune.json,30,29,878.7,276.5,0.0,11357.0,3,-696.8666666666667,0,0
cem,7,experiments/runs/stratified30_total_ir_size_sweep/cem_seed7_t30_s12/subset_autotune.json,30,29,684.5333333333333,224.0,0.0,8121.0,5,-891.0333333333333,0,0
cem,11,experiments/runs/stratified30_total_ir_size_sweep/cem_seed11_t30_s12/subset_autotune.json,30,29,532.6333333333333,250.0,0.0,1993.0,5,-1042.9333333333334,0,0
cem,17,experiments/runs/stratified30_total_ir_size_sweep/cem_seed17_t30_s12/subset_autotune.json,30,29,746.3,286.0,0.0,8181.0,6,-829.2666666666667,0,0
cem,23,experiments/runs/stratified30_total_ir_size_sweep/cem_seed23_t30_s12/subset_autotune.json,30,30,840.9666666666667,338.5,1.0,10731.0,7,-734.6,0,0
cem,31,experiments/runs/stratified30_total_ir_size_sweep/cem_seed31_t30_s12/subset_autotune.json,30,30,931.6,286.5,1.0,11357.0,4,-643.9666666666667,0,0
contextual_cem,7,experiments/runs/stratified30_total_ir_size_sweep/contextual_cem_seed7_t30_s12/subset_autotune.json,30,30,712.9333333333333,228.5,1.0,8105.0,4,-862.6333333333333,0,0
contextual_cem,11,experiments/runs/stratified30_total_ir_size_sweep/contextual_cem_seed11_t30_s12/subset_autotune.json,30,29,896.8666666666667,293.5,0.0,12361.0,4,-678.7,0,0
contextual_cem,17,experiments/runs/stratified30_total_ir_size_sweep/contextual_cem_seed17_t30_s12/subset_autotune.json,30,29,815.3,293.5,0.0,7316.0,5,-760.2666666666667,0,0
contextual_cem,23,experiments/runs/stratified30_total_ir_size_sweep/contextual_cem_seed23_t30_s12/subset_autotune.json,30,30,855.5666666666667,330.5,1.0,9233.0,5,-720.0,0,0
contextual_cem,31,experiments/runs/stratified30_total_ir_size_sweep/contextual_cem_seed31_t30_s12/subset_autotune.json,30,30,1061.8333333333333,389.5,1.0,14547.0,6,-513.7333333333333,0,0
