strategy,seed,path,benchmarks,improved,avg_improvement,median_improvement,min_improvement,max_improvement,oz_beaten,avg_best_vs_oz,error_count,oz_error_count
random,7,experiments/runs/top_cleanup_full_budget_sweep/random_seed7_t50_s16/subset_autotune.json,30,30,930.0666666666667,346.5,2.0,10318.0,9,-116.7,0,0
random,11,experiments/runs/top_cleanup_full_budget_sweep/random_seed11_t50_s16/subset_autotune.json,30,30,863.7333333333333,381.5,1.0,9653.0,8,-183.03333333333333,3,0
random,17,experiments/runs/top_cleanup_full_budget_sweep/random_seed17_t50_s16/subset_autotune.json,30,30,846.4,357.0,1.0,8754.0,8,-200.36666666666667,0,0
random,23,experiments/runs/top_cleanup_full_budget_sweep/random_seed23_t50_s16/subset_autotune.json,30,30,983.2,387.0,2.0,12564.0,11,-63.56666666666667,0,0
random,31,experiments/runs/top_cleanup_full_budget_sweep/random_seed31_t50_s16/subset_autotune.json,30,30,910.3,350.5,2.0,10302.0,10,-136.46666666666667,1,0
bandit,7,experiments/runs/top_cleanup_full_budget_sweep/bandit_seed7_t50_s16/subset_autotune.json,30,30,1011.2666666666667,321.0,2.0,13198.0,9,-35.5,0,0
bandit,11,experiments/runs/top_cleanup_full_budget_sweep/bandit_seed11_t50_s16/subset_autotune.json,30,30,856.7333333333333,319.5,2.0,9653.0,8,-190.03333333333333,1,0
bandit,17,experiments/runs/top_cleanup_full_budget_sweep/bandit_seed17_t50_s16/subset_autotune.json,30,29,763.1,250.5,0.0,8330.0,5,-283.6666666666667,0,0
bandit,23,experiments/runs/top_cleanup_full_budget_sweep/bandit_seed23_t50_s16/subset_autotune.json,30,30,741.5,332.5,2.0,7810.0,6,-305.26666666666665,0,0
bandit,31,experiments/runs/top_cleanup_full_budget_sweep/bandit_seed31_t50_s16/subset_autotune.json,30,29,830.4333333333333,316.5,0.0,10302.0,8,-216.33333333333334,0,0
cem,7,experiments/runs/top_cleanup_full_budget_sweep/cem_seed7_t50_s16/subset_autotune.json,30,30,821.1333333333333,373.0,2.0,8219.0,9,-225.63333333333333,0,0
cem,11,experiments/runs/top_cleanup_full_budget_sweep/cem_seed11_t50_s16/subset_autotune.json,30,30,912.7333333333333,347.5,1.0,9653.0,11,-134.03333333333333,1,0
cem,17,experiments/runs/top_cleanup_full_budget_sweep/cem_seed17_t50_s16/subset_autotune.json,30,30,1054.5,359.5,1.0,15002.0,8,7.733333333333333,0,0
cem,23,experiments/runs/top_cleanup_full_budget_sweep/cem_seed23_t50_s16/subset_autotune.json,30,30,939.5333333333333,378.0,2.0,9267.0,11,-107.23333333333333,0,0
cem,31,experiments/runs/top_cleanup_full_budget_sweep/cem_seed31_t50_s16/subset_autotune.json,30,30,929.0333333333333,372.5,2.0,10302.0,11,-117.73333333333333,2,0
contextual_cem,7,experiments/runs/top_cleanup_full_budget_sweep/contextual_cem_seed7_t50_s16/subset_autotune.json,30,30,1127.4666666666667,391.0,2.0,15858.0,11,80.7,1,0
contextual_cem,11,experiments/runs/top_cleanup_full_budget_sweep/contextual_cem_seed11_t50_s16/subset_autotune.json,30,30,955.3333333333334,401.0,2.0,10130.0,11,-91.43333333333334,0,0
contextual_cem,17,experiments/runs/top_cleanup_full_budget_sweep/contextual_cem_seed17_t50_s16/subset_autotune.json,30,30,1037.6333333333334,352.0,2.0,12898.0,12,-9.133333333333333,2,0
contextual_cem,23,experiments/runs/top_cleanup_full_budget_sweep/contextual_cem_seed23_t50_s16/subset_autotune.json,30,30,1092.6666666666667,354.0,2.0,14007.0,12,45.9,0,0
contextual_cem,31,experiments/runs/top_cleanup_full_budget_sweep/contextual_cem_seed31_t50_s16/subset_autotune.json,30,30,1107.6333333333334,392.5,2.0,14601.0,11,60.86666666666667,1,0
